vehicle_id,route_id,time_step,speed,co_emission,co2_emission,nox_emission,fuel_consumption
5,!5,92,23.2354,53.1413,4433.9262,1.6939,1409.8719
6,!6,92,19.0725,118.4302,9584.5444,3.8413,3070.2578
7,!7,92,11.6423,6.2671,2010.2196,0.7487,653.5077
8,!8,92,10.8706,58.2557,7766.6935,2.6967,2597.9767
9,!9,92,12.1286,14.4758,2948.1641,1.0256,950.7985
5,!5,93,21.9829,58.167,4543.0947,1.8291,1424.1524
6,!6,93,19.4315,136.2667,10195.4642,4.0447,3375.1657
7,!7,93,11.3657,3.787,1831.8037,0.652,564.1292
8,!8,93,11.2409,0.1289,1396.766,0.5345,450.7722
9,!9,93,11.4685,0.0007,0.0002,-0.0005,0.0004
5,!5,94,19.6917,0.0001,0.0009,-0.0,-0.0009
6,!6,94,22.4433,228.3276,15050.3016,6.2369,4851.2586
7,!7,94,12.132,26.8809,4158.1093,1.4804,1339.7056
8,!8,94,11.7277,40.7555,5464.2296,1.8692,1786.2812
9,!9,94,11.9016,0.0006,1300.4682,0.4909,420.7211
5,!5,95,15.0329,0.0001,0.0004,-0.0006,-0.0002
6,!6,95,21.8158,59.0243,4738.057,1.8469,1520.1709
7,!7,95,11.7349,-0.0006,0.0001,-0.0003,0.0003
8,!8,95,12.8252,31.6876,4386.1934,1.6218,1447.51
9,!9,95,10.9551,-0.0006,-0.0011,-0.0002,-0.0005
5,!5,96,11.1451,0.0006,-0.0003,-0.0009,-0.0005
6,!6,96,21.2215,30.3356,2986.1457,1.0791,989.9863
7,!7,96,11.0134,0.0012,-0.0,0.0002,0.0004
8,!8,96,12.4069,-0.0003,-0.0002,0.0006,0.0009
9,!9,96,11.577,23.4151,3947.9179,1.3204,1325.9643
5,!5,97,6.6962,0.0008,0.0004,0.0007,0.0
6,!6,97,23.7658,131.3577,8479.1476,3.6379,2832.9671
7,!7,97,11.6118,11.3423,2603.5885,0.9448,838.6825
8,!8,97,12.5215,28.4744,4124.9614,1.4199,1313.4015
9,!9,97,10.8065,-0.0003,-0.0002,-0.0008,0.0003
5,!5,98,4.8186,-0.0004,0.0003,-0.0,0.0005
6,!6,98,21.7303,0.0002,0.0,-0.0006,-0.0014
7,!7,98,11.458,0.0011,-0.0006,-0.0004,0.0003
8,!8,98,12.357,-0.0004,0.0002,0.0,-0.0001
9,!9,98,11.3051,24.5236,4091.4173,1.3527,1346.3958
5,!5,99,4.4133,-0.0002,0.0004,-0.0006,-0.0005
6,!6,99,22.1304,30.5607,2899.896,1.1294,922.1127
7,!7,99,11.0989,10.2009,2487.9712,0.8431,837.3114
8,!8,99,12.4093,0.0012,-0.0003,-0.0003,-0.0001
9,!9,99,11.7194,10.9683,2557.7158,0.9443,835.9775
10,!10,100,14.0708,7.6792,2076.822,0.7775,661.2806
5,!5,100,6.7559,16.4871,5168.9263,1.507,1694.7703
6,!6,100,22.3994,96.4142,6895.0959,2.8929,2169.2749
7,!7,100,9.5403,-0.0012,-0.001,0.0003,-0.0009
8,!8,100,11.7653,-0.0007,1275.1347,0.4941,419.4982
9,!9,100,9.5502,-0.0002,-0.0004,-0.0001,-0.0001
10,!10,101,13.2184,-0.0005,0.0002,-0.0005,0.0007
5,!5,101,5.5095,0.0005,-0.0007,-0.0005,-0.0003
6,!6,101,21.5961,0.0004,0.0005,0.0005,0.0004
7,!7,101,5.4427,-0.0002,0.0002,-0.0007,-0.0002
8,!8,101,11.668,6.4714,1902.0845,0.7224,651.771
9,!9,101,5.395,0.0,-0.0003,0.0007,0.0001
10,!10,102,8.6822,-0.0003,-0.0003,0.0002,-0.0009
5,!5,102,5.5387,0.0003,0.0005,0.0002,-0.0004
6,!6,102,23.0424,145.5038,9191.5452,3.8824,3067.0924
7,!7,102,5.9634,3.5146,2414.9978,0.7865,770.6956
8,!8,102,11.9243,1.4208,1458.5532,0.6032,484.1996
9,!9,102,4.9953,-0.0004,1499.612,0.5826,491.6179
10,!10,103,5.2048,0.0009,-0.0,0.0002,0.0003
5,!5,103,4.4216,0.0006,0.0004,0.0005,-0.0009
6,!6,103,22.5053,-0.0007,-0.0,0.0004,0.0006
7,!7,103,6.0299,0.8334,1768.1282,0.6302,545.2452
8,!8,103,8.295,-0.0003,0.0006,0.0004,-0.0007
9,!9,103,5.7276,4.9125,2766.4512,0.8752,896.5372
10,!10,104,3.4461,-0.0007,0.0,0.0004,-0.0003
5,!5,104,5.2673,3.3628,2465.3308,0.7831,831.5187
6,!6,104,21.549,0.0005,-0.0003,-0.0007,0.0
7,!7,104,6.4986,1.1426,1714.8395,0.6413,568.2956
8,!8,104,3.9318,0.0002,0.0005,-0.0001,0.0
9,!9,104,5.9958,2.6646,2075.5144,0.6753,667.9852
10,!10,105,3.2154,0.0002,-0.0003,-0.0006,-0.0002
5,!5,105,4.3396,-0.0005,-0.0003,0.0003,0.0001
6,!6,105,22.6802,61.5693,4906.4839,1.8783,1577.8011
8,!8,105,5.7354,11.9993,4572.237,1.2352,1411.0177
9,!9,105,6.1611,1.652,1880.6731,0.6843,609.0911
10,!10,106,5.7165,14.3166,5387.6057,1.3615,1763.6592
5,!5,106,5.6279,11.6812,4491.116,1.2344,1502.9493
6,!6,106,18.3196,-0.0003,0.0009,-0.0,0.0005
8,!8,106,6.9438,13.2967,3932.8124,1.2552,1343.8091
9,!9,106,8.8102,37.5857,7160.5452,2.1643,2236.9098
10,!10,107,7.7161,25.9296,5731.1129,1.7587,1920.6736
5,!5,107,7.8897,25.004,5750.7446,1.586,1746.1276
6,!6,107,14.6048,-0.0003,-0.0008,-0.0004,-0.0001
8,!8,107,9.3568,26.221,5281.1027,1.5735,1738.0
9,!9,107,9.7543,29.5503,4879.8394,1.6794,1623.9007
10,!10,108,8.9539,20.7828,4578.1042,1.3761,1487.8107
5,!5,108,10.0517,51.9708,7982.7621,2.5318,2508.6004
6,!6,108,9.9116,-0.0006,-0.0002,0.001,0.0001
8,!8,108,11.1389,52.5101,7798.9942,2.2902,2332.3605
9,!9,108,11.3651,15.0605,3221.3872,1.1044,1066.31
10,!10,109,6.2831,-0.0004,-0.0006,-0.0002,0.0003
5,!5,109,10.9096,22.2842,3837.9865,1.3008,1250.7579
6,!6,109,5.3197,-0.0009,0.0005,-0.0006,-0.0001
8,!8,109,12.145,37.2365,4955.0533,1.7506,1734.8625
9,!9,109,11.5395,20.303,3473.2003,1.261,1150.511
10,!10,110,1.6703,0.0002,0.0006,0.0004,-0.0002
11,!11,110,14.1212,8.3384,2058.2145,0.7685,664.8629
5,!5,110,10.4494,-0.0005,0.0007,-0.0003,0.0008
6,!6,110,6.4044,13.1503,4352.4975,1.1186,1339.1638
8,!8,110,12.7005,24.0377,3577.6104,1.2397,1169.1598
9,!9,110,11.0144,-0.0005,1196.3217,0.48,409.3044
10,!10,111,0.4105,0.0009,610.035,0.5818,193.0195
11,!11,111,13.2025,-0.0003,1240.0726,0.4886,423.9295
5,!5,111,10.8568,7.5523,2347.395,0.8383,737.43
6,!6,111,9.0368,44.3527,7348.0967,2.2653,2374.625
8,!8,111,12.1647,0.001,-0.0007,0.0009,-0.0
9,!9,111,11.7117,8.9099,2478.9283,0.8865,738.8955
10,!10,112,0.0806,-0.0002,1305.9364,0.5669,408.5027
11,!11,112,13.2186,-0.0001,0.0008,0.0004,0.0006
5,!5,112,10.1071,0.0006,0.0001,-0.0004,0.0007
6,!6,112,10.7585,49.1222,6629.7352,2.1597,2187.1754
8,!8,112,12.6949,27.7874,4055.9471,1.4819,1303.9245
9,!9,112,10.59,-0.0002,0.0001,0.0004,0.0
10,!10,113,2.641,3.2625,4340.3468,0.9728,1378.7401
11,!11,113,14.3634,25.9263,3571.8938,1.327,1155.1751
5,!5,113,5.7448,0.0005,0.0,0.0002,0.0004
6,!6,113,13.2765,84.6436,9280.0498,3.2934,3010.2014
8,!8,113,11.3936,-0.0004,0.0002,0.0008,0.0007
9,!9,113,10.0198,-0.0,0.0004,0.0004,0.0002
10,!10,114,3.9503,4.6787,3542.4709,0.9516,1128.4317
11,!11,114,13.5523,-0.0005,-0.0004,-0.0003,0.0006
5,!5,114,5.565,0.0002,0.0002,0.0007,-0.0004
6,!6,114,15.3819,95.0434,8488.2084,3.2392,2950.7594
8,!8,114,12.5545,16.1989,3017.6015,1.089,939.8466
9,!9,114,6.3592,0.0004,0.0011,0.0,0.0001
10,!10,115,6.0839,16.859,5166.3113,1.4248,1690.4771
11,!11,115,13.1468,4.2789,1750.8741,0.6347,565.7356
5,!5,115,5.6896,0.4689,1597.1953,0.6457,504.7696
6,!6,115,18.457,174.1344,13343.1954,5.0639,4098.1752
8,!8,115,12.4726,30.8518,4243.4961,1.5116,1324.3176
9,!9,115,3.5509,-0.0013,-0.0004,-0.0005,-0.0006
10,!10,116,7.7171,16.7165,4251.2184,1.2786,1346.1553
11,!11,116,13.0061,23.371,3306.258,1.2321,1115.0969
5,!5,116,6.0399,3.8932,2445.0342,0.778,790.5861
6,!6,116,18.9877,151.487,10569.0969,4.2489,3539.6307
8,!8,116,12.8753,3.7339,1627.8908,0.6257,545.9148
9,!9,116,3.5015,0.1942,1599.683,0.5747,514.9906
10,!10,117,9.5812,32.9015,6220.4688,2.0393,2039.0815
11,!11,117,13.7353,-0.0001,-0.0004,-0.0,0.0007
