,speed,co_emission,co2_emission,nox_emission,fuel_consumption
!49,8.8289,15.5889,2963.3449,0.9488,949.2412
!50,9.0764,11.3063,2380.6815,0.8003,780.2876
!51,6.1682,6.9629,2011.5952,0.5983,663.0233
!52,16.0719,78.8631,5974.7652,2.3545,1914.12
!53,14.528,15.4381,2270.2224,0.832,723.645
!54,10.3603,19.2276,3023.6111,1.0297,980.0735
!55,9.9092,20.0705,3370.2962,1.1122,1097.6557
!56,12.9482,64.5297,5864.4862,2.2299,1926.2814
!57,10.0815,30.2244,4415.9513,1.4703,1414.6181
!58,19.181,81.0013,5833.3612,2.3782,1902.3969
!59,14.4926,77.976,6468.72,2.4986,2083.9666
!60,10.9258,20.4337,3145.9466,1.0541,1026.2918
!61,10.2279,36.5958,4882.1197,1.6392,1559.8409
!62,17.7686,72.4254,5582.7822,2.2363,1824.133
!63,10.2883,56.9695,5424.2546,2.0902,1758.3609
!64,11.0274,51.9998,5486.0623,1.9934,1753.9057
!65,13.6388,57.248,5203.315,1.9486,1695.9424
!66,6.4205,11.4938,2658.5786,0.8616,867.1408
!67,15.0668,65.3833,5605.9682,2.1261,1800.2952
!68,17.154,37.7781,3519.2969,1.3347,1149.5731
!69,10.3903,18.5092,3030.6375,1.0239,992.1666
!70,18.2106,54.114,4471.3941,1.7335,1445.5671
!71,14.582,62.7907,5374.2033,2.0881,1745.6943
!72,7.5073,10.9626,1988.9742,0.7559,656.2417
!73,18.516,90.6034,6564.6617,2.591,2120.8655
!74,16.2022,56.9591,5150.8658,1.9608,1662.3284
!75,9.9352,14.4092,2887.3952,1.003,937.6447
!76,10.025,20.0589,3281.2368,1.097,1057.2389
!77,15.9825,85.3325,6787.8479,2.6838,2178.9885
!78,9.0964,13.5265,2752.2656,0.9058,900.0197
!79,16.2993,88.8395,6660.6993,2.6826,2175.4362
!80,13.2501,22.679,3282.1991,1.1656,1059.1836
!81,9.8855,16.2077,2773.3967,0.942,915.9418
!82,9.7997,16.2443,2671.0055,0.9004,870.5473
!83,6.5578,19.1518,3519.2124,1.2088,1134.4514
!84,14.6477,37.4348,3898.5953,1.4078,1240.9905
!85,19.2884,97.5529,6597.5614,2.6963,2132.1299
!86,12.3195,16.5649,2638.4283,0.9224,855.0202
!87,5.6126,11.5186,2486.1924,0.8388,809.9606
!88,8.8084,20.2577,3628.6968,1.1736,1167.9029
!89,10.1121,24.2953,3861.5998,1.288,1268.233
!90,10.0779,23.0991,3695.9096,1.2402,1197.54
!91,6.8033,3.4527,1671.7467,0.5415,517.2059
!92,6.9692,14.3835,3081.9365,0.9585,1008.4753
!93,8.5674,11.8483,2382.8555,0.768,772.7028
!94,3.1241,3.0712,2907.8189,0.8118,946.425
!95,14.5003,84.4024,6712.7546,2.6391,2150.9572
!96,10.0315,19.123,3006.6216,0.9982,950.381
!97,7.8357,8.6411,2327.5854,0.731,757.7209
!98,10.1309,23.9029,3834.0777,1.2758,1246.827
!99,14.2795,81.9899,6570.4237,2.527,2124.4986
!100,11.0771,23.4357,3454.2982,1.207,1124.0848
!101,13.6488,69.341,5938.7206,2.2898,1931.9035
!102,12.2021,16.2151,2688.2254,0.936,869.069
!103,11.7443,16.0953,2694.1187,0.9178,871.087
!104,14.6297,38.5953,4178.6582,1.5609,1361.6337
!105,9.8961,16.2076,2913.008,0.9681,950.964
!106,10.3442,20.0712,3331.5516,1.1042,1075.3402
!107,10.3589,17.9609,2870.8314,0.9642,927.94
!108,10.5643,30.0883,4071.1655,1.4267,1326.2103
!109,9.8171,25.1931,3897.8977,1.3234,1267.3847
!110,11.1506,15.8298,2820.3369,0.9446,914.2782
!111,10.0109,6.7868,1731.7227,0.6096,561.8286
!112,15.3906,73.9863,6065.5603,2.3502,1955.0752
!113,12.6474,19.3088,2882.666,1.0068,928.3927
!114,11.0985,21.8234,3421.7049,1.1725,1117.468
!115,10.7471,13.2481,2592.1916,0.8683,834.825
!116,11.6396,28.5187,3702.5589,1.2941,1202.6885
!117,10.1976,18.0577,2960.0089,1.0003,960.6989
!118,8.9854,18.7528,3329.0662,1.0717,1080.3582
!119,8.3052,21.7329,3612.8319,1.212,1203.8818
!120,15.6907,61.1573,5165.0269,1.9908,1704.711
!121,9.6604,28.2445,4243.9334,1.3926,1380.3167
!122,15.756,76.4724,6152.4392,2.4044,2005.7032
!123,13.1394,34.8807,4153.4537,1.4807,1352.2352
!124,22.8904,102.0755,6675.4277,2.794,2156.0804
!125,18.1319,59.4632,4658.4619,1.8303,1505.5483
!126,16.4559,79.5387,6311.9194,2.5126,2046.5395
!127,13.6243,35.7797,3940.5228,1.4377,1283.5174
!128,8.3433,22.7734,3983.0399,1.235,1285.741
!129,10.2831,17.2908,2917.5745,0.9839,941.4584
!130,9.7669,18.9128,3411.3385,1.1442,1105.8908
!131,10.6009,39.5592,5394.6608,1.841,1765.2998
!132,9.5602,33.8911,4881.1197,1.6335,1550.1305
