route_id,speed,bus_count,message_count
309,-1,0,0
308,19,1,8
307,22,1,10
306,21,1,12
305,-1,0,0
304,-1,0,0
303,-1,0,0
302,-1,0,0
301,-1,0,0
300,-1,0,0
299,-1,0,0
298,-1,0,0
297,-1,0,0
296,-1,0,0
295,-1,0,0
294,-1,0,0
293,-1,0,0
272,25,1,12
271,34,1,10
270,42,1,4
269,-1,0,0
268,-1,0,0
267,-1,0,0
266,-1,0,0
265,-1,0,0
264,-1,0,0
263,-1,0,0
262,-1,0,0
261,-1,0,0
260,-1,0,0
259,23,1,14
258,21,1,9
257,23,1,12
256,23,1,13
255,26,1,6
254,-1,0,0
253,-1,0,0
252,27,1,10
246,31,1,11
245,30,1,12
244,-1,0,0
243,-1,0,0
242,-1,0,0
241,26,1,1
240,20,1,8
239,22,1,14
238,18,1,3
237,-1,0,0
236,-1,0,0
235,-1,0,0
234,-1,0,0
233,-1,0,0
232,-1,0,0
231,-1,0,0
230,31,1,12
229,-1,0,0
228,26,1,7
227,26,1,11
226,-1,0,0
225,-1,0,0
224,-1,0,0
223,-1,0,0
222,-1,0,0
221,-1,0,0
220,-1,0,0
219,-1,0,0
218,-1,0,0
217,-1,0,0
216,-1,0,0
215,-1,0,0
214,29,1,4
212,22,1,16
211,25,1,10
84,18,2,10
83,-1,0,0
607,-1,0,0
606,-1,0,0
605,-1,0,0
604,-1,0,0
602,-1,0,0
601,-1,0,0
600,-1,0,0
599,-1,0,0
598,-1,0,0
597,-1,0,0
596,-1,0,0
595,-1,0,0
594,14,1,3
593,-1,0,0
592,-1,0,0
591,-1,0,0
589,-1,0,0
587,-1,0,0
586,-1,0,0
584,-1,0,0
583,-1,0,0
582,-1,0,0
581,-1,0,0
580,30,1,6
579,-1,0,0
578,-1,0,0
577,32,1,10
576,25,1,13
575,-1,0,0
574,-1,0,0
573,-1,0,0
454,20,2,23
453,27,2,30
452,23,1,10
451,25,1,9
450,-1,0,0
449,-1,0,0
448,23,3,13
447,32,2,22
446,25,2,25
445,25,3,25
444,-1,0,0
443,-1,0,0
442,-1,0,0
441,-1,0,0
440,-1,0,0
439,-1,0,0
430,26,1,8
429,24,2,11
428,22,1,6
427,-1,0,0
426,-1,0,0
425,-1,0,0
424,-1,0,0
423,21,1,6
422,25,1,10
421,22,1,11
420,24,1,10
104,23,1,8
105,25,1,5
106,26,1,8
107,27,1,8
108,28,1,6
109,27,1,4
110,-1,0,0
111,-1,0,0
112,-1,0,0
113,-1,0,0
114,-1,0,0
115,29,1,4
116,30,1,7
117,29,1,14
118,35,1,6
119,33,1,6
120,25,2,8
121,20,1,7
122,18,1,11
123,20,1,6
124,26,1,1
125,-1,0,0
126,-1,0,0
290,-1,0,0
291,-1,0,0
292,-1,0,0
331,-1,0,0
332,-1,0,0
333,-1,0,0
334,-1,0,0
335,12,3,9
336,-1,0,0
337,29,1,6
338,-1,0,0
339,-1,0,0
340,-1,0,0
341,-1,0,0
342,-1,0,0
343,-1,0,0
344,-1,0,0
345,-1,0,0
346,-1,0,0
347,-1,0,0
348,-1,0,0
349,21,1,4
350,22,1,7
351,27,1,9
352,22,1,8
353,30,2,7
354,29,1,4
355,28,1,3
356,24,1,2
357,29,1,5
358,22,1,1
359,20,1,4
360,-1,0,0
361,-1,0,0
362,-1,0,0
363,-1,0,0
364,27,1,4
365,25,1,7
366,-1,0,0
367,-1,0,0
368,-1,0,0
369,-1,0,0
370,-1,0,0
371,-1,0,0
372,-1,0,0
373,-1,0,0
374,-1,0,0
375,-1,0,0
376,-1,0,0
377,-1,0,0
378,29,1,7
379,-1,0,0
380,-1,0,0
381,-1,0,0
382,-1,0,0
383,27,1,1
384,22,1,9
385,20,1,6
386,16,1,7
387,21,1,6
388,-1,0,0
389,-1,0,0
390,-1,0,0
391,-1,0,0
392,-1,0,0
393,-1,0,0
394,31,1,3
395,29,1,14
396,27,1,9
397,29,1,9
398,32,1,8
399,-1,0,0
400,-1,0,0
401,-1,0,0
402,-1,0,0
403,-1,0,0
404,-1,0,0
405,-1,0,0
406,-1,0,0
407,27,2,4
408,33,1,1
415,-1,0,0
416,-1,0,0
417,2,1,28
418,-1,0,0
419,30,3,24
210,-1,0,0
209,-1,0,0
208,-1,0,0
207,27,1,6
206,27,1,12
205,29,1,10
204,29,1,10
203,-1,0,0
202,-1,0,0
201,-1,0,0
200,31,1,5
199,31,1,12
198,27,1,12
197,29,1,12
196,25,1,10
195,20,1,18
194,22,1,13
193,-1,0,0
192,-1,0,0
191,-1,0,0
190,-1,0,0
189,-1,0,0
188,-1,0,0
187,19,1,7
186,23,2,21
185,-1,0,0
184,-1,0,0
183,-1,0,0
182,-1,0,0
181,-1,0,0
180,-1,0,0
179,-1,0,0
178,22,1,10
177,25,1,12
176,20,1,11
175,26,1,14
174,25,1,1
173,-1,0,0
172,-1,0,0
171,-1,0,0
170,-1,0,0
169,-1,0,0
168,-1,0,0
166,-1,0,0
162,-1,0,0
161,-1,0,0
160,-1,0,0
159,-1,0,0
158,24,1,2
157,26,1,6
156,28,1,4
103,27,1,2
102,31,1,4
101,-1,0,0
100,-1,0,0
99,-1,0,0
98,31,1,8
97,25,1,12
96,34,1,8
95,27,1,11
94,-1,0,0
93,-1,0,0
92,-1,0,0
91,-1,0,0
90,25,1,3
89,22,1,10
88,25,2,10
87,27,4,19
86,23,4,9
85,26,3,16
82,-1,0,0
81,29,1,9
80,29,1,10
79,31,1,11
78,29,1,15
77,26,1,9
76,-1,0,0
75,-1,0,0
74,28,1,5
73,28,1,5
72,26,1,2
71,-1,0,0
70,-1,0,0
69,-1,0,0
68,-1,0,0
67,-1,0,0
66,-1,0,0
65,-1,0,0
64,-1,0,0
63,-1,0,0
62,-1,0,0
