time,segment_id,speed,street,direction,from_street,to_street,length,street_heading,bus_count,message_count,hour,day_of_week,month,record_id,start_latitude,start_longitude,end_latitude,end_longitude,start_location,end_location,comments
2026-04-30T01:10:21.000,1212,-1,Halsted,NB,47th,43rd,0.5,S,0,0,1,5,4,1212-202604300610,41.808864,-87.645349,41.816184,-87.645535,"{'type': 'Point', 'coordinates': [-87.645349, 41.808864]}","{'type': 'Point', 'coordinates': [-87.645535, 41.816184]}",
2026-04-30T01:10:21.000,1214,-1,Halsted,NB,Pershing,35th,0.5,S,0,0,1,5,4,1214-202604300610,41.823458,-87.645736,41.83075,-87.645915,"{'type': 'Point', 'coordinates': [-87.645736, 41.823458]}","{'type': 'Point', 'coordinates': [-87.645915, 41.83075]}",
2026-04-30T01:10:21.000,1215,-1,Halsted,NB,35th,31st,0.5,S,0,0,1,5,4,1215-202604300610,41.83075,-87.645915,41.838046,-87.646086,"{'type': 'Point', 'coordinates': [-87.645915, 41.83075]}","{'type': 'Point', 'coordinates': [-87.646086, 41.838046]}",
2026-04-30T01:10:21.000,1216,-1,Halsted,NB,31st,Archer,0.63,S,0,0,1,5,4,1216-202604300610,41.838046,-87.646086,41.847196,-87.646297,"{'type': 'Point', 'coordinates': [-87.646086, 41.838046]}","{'type': 'Point', 'coordinates': [-87.646297, 41.847196]}",
2026-04-30T01:10:21.000,1217,24,Halsted,NB,Archer,Cermak,0.4,S,1,5,1,5,4,1217-202604300610,41.847196,-87.646297,41.852646,-87.646305,"{'type': 'Point', 'coordinates': [-87.646297, 41.847196]}","{'type': 'Point', 'coordinates': [-87.646305, 41.852646]}",
2026-04-30T01:10:21.000,1218,22,Halsted,NB,Cermak,16th,0.5,S,1,8,1,5,4,1218-202604300610,41.852646,-87.646305,41.859912,-87.646517,"{'type': 'Point', 'coordinates': [-87.646305, 41.852646]}","{'type': 'Point', 'coordinates': [-87.646517, 41.859912]}",
2026-04-30T01:10:21.000,1219,22,Halsted,NB,16th,Roosevelt,0.5,S,1,8,1,5,4,1219-202604300610,41.859912,-87.646517,41.867152,-87.646729,"{'type': 'Point', 'coordinates': [-87.646517, 41.859912]}","{'type': 'Point', 'coordinates': [-87.646729, 41.867152]}",
2026-04-30T01:10:21.000,1220,-1,Halsted,NB,Roosevelt,Harrison,0.5,S,0,0,1,5,4,1220-202604300610,41.867152,-87.646729,41.874338,-87.646935,"{'type': 'Point', 'coordinates': [-87.646729, 41.867152]}","{'type': 'Point', 'coordinates': [-87.646935, 41.874338]}",
2026-04-30T01:10:21.000,1247,-1,Halsted,SB,47th,51st,0.5,S,0,0,1,5,4,1247-202604300610,41.808864,-87.645729,41.801585,-87.645536,"{'type': 'Point', 'coordinates': [-87.645729, 41.808864]}","{'type': 'Point', 'coordinates': [-87.645536, 41.801585]}",
2026-04-30T01:10:21.000,1248,-1,Halsted,SB,43rd,47th,0.5,S,0,0,1,5,4,1248-202604300610,41.816184,-87.645915,41.808864,-87.645729,"{'type': 'Point', 'coordinates': [-87.645915, 41.816184]}","{'type': 'Point', 'coordinates': [-87.645729, 41.808864]}",
